COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName,
Marshall Islands,"7 06 N, 171 23 E","9 00 N, 168 00 E","7.1, 171.38333333333333","9.0, 168.0",428.3621152,266.1719718,3.38333,-1.9,Oceania,Majuro,
Mauritania,"18 04 N, 15 58 W","20 00 N, 12 00 W","18.066666666666666, -15.966666666666667","20.0, -12.0",469.2318219,291.5672391,-3.96667,-1.93333,Africa,Nouakchott,
Mauritius,"20 09 S, 57 29 E","20 17 S, 57 33 E","-20.15, 57.483333333333334","-20.283333333333335, 57.55",16.3819556,10.17927886,-0.06667,0.13333,Africa,Port Louis,
Mayotte,"12 46 S, 45 13 E","12 50 S, 45 10 E","-12.766666666666667, 45.21666666666667","-12.833333333333334, 45.166666666666664",9.186893918,5.708473233,0.05,0.06667,Africa,Mamoudzou,
Mexico,"19 26 N, 99 08 W","23 00 N, 102 00 W","19.433333333333334, -99.13333333333334","23.0, -102.0",495.6792993,308.0009454,2.86667,-3.56667,North America,Mexico City,
Moldova,"47 00 N, 28 51 E","47 00 N, 29 00 E","47.0, 28.85","47.0, 29.0",11.37878284,7.070450345,-0.15,0,Europe,Chisinau,
Monaco,"43 44 N, 7 25 E","43 44 N, 7 24 E","43.733333333333334, 7.416666666666667","43.733333333333334, 7.4",1.339513224,0.832335222,0.01667,0,Europe,Monaco,
Mongolia,"47 55 N, 106 55 E","46 00 N, 105 00 E","47.916666666666664, 106.91666666666667","46.0, 105.0",258.0953737,160.3730864,1.91667,1.91667,Asia,Ulaanbaatar,
Montenegro,"42 26 N, 19 16 E","42 30 N, 19 18 E","42.43333333333333, 19.266666666666666","42.5, 19.3",7.903631873,4.911090886,-0.03333,-0.06667,Europe,Podgorica,
Montserrat,"16 42 N, 62 13 W","16 45 N, 62 12 W","16.7, -62.21666666666667","16.75, -62.2",5.838001609,3.627567295,-0.01667,-0.05,North America,Plymouth,
